"Var1","Freq"
"Виправлення технічної помилки у відомостях з Державного земельного кадастру, яка була допущена органом , що здійснює його ведення, з видачею витягу",71
"Висновок державної експертизи землевпорядної документації, щодо об'єктів, які підлягають обов'язковій державній експертизі",145
"Відомча реєстрація великотонажних та інших технологічних транспортних засобів , що не підлягають експлуатації на вулично-дорожній мережі загального користування",282
"Вклеювання до паспорта громадянина України фотокартки при досягненні 25- і 45-річного віку",3347
"Вклеювання нової фотокартки у посвідчення дитини з багатодітної сім'ї у разі досягнення 14-річного віку",20
"Внесення до державного земельного кадастру відомостей  (змін до них) про земельну ділянку",87
"Внесення до Державного земельного кадастру відомостей (змін) про землі в межах адміністративно-територіальних одиниць з видачею витягу",4
"Внесення до Державного земельного кадастру відомостей про обмеження у використанні земель, встановлені законами та прийнятими відповідно до них нормативно-правовими актами, з видачею витягу",5
"Внесення змін до рішень сесії міської ради (у зв`язку з допущеною помилкою), припинення договорів особистого сервітутного користування реальною, ідеальною часткою земельної ділянки, особистого строкового сервітуту для розміщення тимчасових споруд",1
"Встановлення опіки (піклування) над дітьми",14
"Встановлення порядку участі того з батьків, що проживає окремо, у вихованні  дитини",7
"Декларація відповідності матеріально-технічної бази роботодавця вимогам законодавства з питань охорони праці та промислової безпеки",34
"Декларація відповідності об""єкта вимогам пожежної безпеки",47
"Державна реєстрація земельної ділянки з видачею витягу з Державного земельного кадастру",1566
"Державна реєстрація обмежень у використанні земель з видачею витягу",2
"Дозвіл на викиди забруднюючих речовин в атмосферне повітря стаціонарними джерелами для обʼєктів ІІ та ІІІ групи",164
"Дозвіл на виконання робіт підвищеної небезпеки та на експлуатацію (застосування) машин, механізмів, устаткування підвищеної небезпеки",457
"Дозвіл на проведення робіт на пам'ятках місцевого значення (крім пам'яток археології), їх територій та в зонах охорони",14
"Дозвіл на спеціальне водокористування",45
"Дозвіл на участь у дорожньому русі транспортних засобів, вагові або габаритні параметри яких перевищують нормативні",28
"Затвердження рішень підприємств, установ та організацій про надання службових житлових приміщень",7
"Затвердження спільних рішень адміністрації та профспілкового комітету про надання житлових приміщень в будинках підприємств, установ та організацій їх працівникам, які перебувають на обліку за місцем роботи",30
"Затвердження спільних рішень адміністрацій та профспілкових комітетів про  взяття громадян на квартирний облік за місцем роботи",123
"Зняття з реєстрації місця проживання",3785
"Надання будівельного паспорта забудови земельної ділянки",259
"Надання витягу з протоколу сесії міської ради впродовж останніх 10 років",2
"Надання відомостей з державного земельного кадастру у формі витягу з державного земельного кадастру про земельну ділянку",1719
"Надання довідки з державної статистичної звітності про наявність земель та розподіл їх за власниками земель, землекористувачами, угіддями (за даними форми 6-зем)",451
"Надання довідки з містобудівного кадастру",1778
"Надання довідки про відповідність намірів щодо місця розташування тимчасової споруди",151
"Надання довідки про перебування на квартирному обліку при міськвиконкомі за місцем проживання та в житлово-будівельному кооперативі",72
"Надання довідки про перебування на обліку бажаючих отримати земельну ділянку під індивідуальне будівництво",7
"Надання дозволів на відключення житлових будинків від мереж централізованого опалення та гарячого водопостачання в м. Івано-Франківську",26
"Надання дозволу на видалення зелених насаджень",175
"Надання дозволу на встановлення тимчасової виносної конструкції",2
"Надання дозволу на переоформлення договору-найму",11
"Надання дозволу на проведення рекламної акції",33
"Надання дозволу на розміщення об'єкту зовнішньої реклами",205
"Надання дозволу на складання документації із землеустрою",6
"Надання дозволу на створення органу самоорганізації населення (будинкового, вуличного, квартального, територіального комітету)",2
"Надання дозволу на укладення договору купівлі-продажу (дарування, міни) на ім'я повнолітньої особи житла, право користування (спільної сумісної власності) яким мають діти",105
"Надання дозволу на укладення угод неповнолітніми, від імені малолітніх щодо відчуження житла, власником (співвласником) якого вони є",44
"Надання дозволу на укладення угод неповнолітніми, від імені малолітніх щодо відчуження майна (нежитлових приміщень, земельних ділянок, автомобілів тощо), власником (співвласником) якого вони є",3
"Надання дозволу на укладення угод неповнолітніми, від імені малолітніх щодо їх реєстрації та перереєстрації",1
"Надання дозволу на укладення угод неповнолітніми, від імені малолітніх щодо придбання (дарування) на їх ім'я, договору про припинення права на аліменти на дитину в зв'язку з переходом права власності на нерухоме майно",40
"Надання житлових приміщень громадянам, які перебувають на квартирному обліку за місцем проживання при міськвиконкомі",3
"Надання містобудівних умов та обмежень забудови земельної ділянки",172
"Надання ордеру на ізольовану квартиру після здійсненого переобладнання приміщення",3
"Отримання інформації про призначення субсидії на оплату житлово-комунальних послуг",79
"Оформлення і видача паспорта громадянина України для виїзду за кордон з безконтактним електронним носієм",303
"Оформлення і видача паспорта громадянина України з безконтактним електронним носієм вперше після досягнення 14-річного віку",29
"Оформлення і видача паспорта громадянина України з безконтактним електронним носієм у разі обміну паспорта громадянина України зразка 1994 року (у формі книжечки)",17
"Оформлення і видача паспорта громадянина України з безконтактним електронним носієм у разі обміну паспорта громадянина України (у формі картки)",1
"Оформлення/продовження паспорта прив'язки тимчасової споруди для провадження підприємницької діяльності",46
"Передача громадянам у власність приміщень (кімнат) у гуртожитках міста",73
"Передача малосімейного гуртожитку у власність громадян",5
"Передача на баланс зовнішніх мереж",7
"Переоформлення дозволу на викиди забруднюючих речовин в атмосферне повітря стаціонарними джерелами для обёєктів ІІ та ІІІ групи",9
"Перереєстрація, внесення змін та поновлення документів облікової справи",138
"Підготовка договору (довідки) про пайову участь замовників будівництва у створенні і розвитку інженерно-транспортної та соціальної інфраструктури міста",155
"Повідомна реєстрація колективних договорів, змін та доповнень до них",201
"Погодження архітектурного типу тимчасової споруди для провадження підприємницької діяльності",113
"Погодження відчуження або передачі пам'яток місцевого значення їхнім власникам чи у уповноваженими ними органами іншим особам у володіння, користування або управління",12
"Погодження документації із землеустрою",415
"Погодження дорожнього перевезення небезпечних вантажів (крім міжнародних перевезень дорогами, що входять до затверджених маршрутів руху)",366
"Погодження місць здійснення виносної дрібнороздрібної торгівлі",71
"Погодження на встановлення огорожі у м. Івано-Франківську",2
"Погодження на проведення ярмарку",5
"Погодження облаштування літніх торгових майданчиків",104
"Погодження паспорта літнього торгового майданчика",136
"Погодження/перепогодження схеми розташування місць дрібнороздрібної торгівлі, надання послуг у сфері розваг, стаціонарних атракціонів",89
"Погодження програм та проектів містобудівних, архітектурних і ландшафтних перетворень, будівельних, меліоративних, шляхових, земельних робіт, реалізація яких може позначитися на стані пам'яток місцевого значення, їх територій і зон охорони",3
"Погодження проекту інформаційної вивіски на пам'ятці культурної спадщини",349
"Погодження режиму роботи суб'єкта господарювання",26
"Погодження розміщення всесезонних торгових майданчиків біля стаціонарних закладів ресторанного господарства",4
"Погодження розміщення об`єкта тимчасової/святкової дрібнороздрібної торгівлі",49
"Призначення субсидій на оплату житлово-комунальних послуг населенню",3
"Присвоєння (зміна) поштової адреси",102
"Присвоєння (зміна) поштової адреси Для новозбудованих об'єктів:",1
"Продовження (поновлення), припинення договорів оренди (суборенди) землі. Внесення змін до договорів оренди (суборенди) землі (в т. ч. до додаткових угод до них)",1
"Продовження строку дії посвідчень батьків та дитини з багатодітної сім'ї",101
"Продовження терміну дії дозволу на спеціальне водокористування",28
"Реєстрація декларації (внесення змін до декларації) про готовність об`єкта до експлуатації",1316
"Реєстрація декларації (внесення змін до декларації) про готовність об'єкта до експлуатації",283
"Реєстрація декларації (внесення змін до декларації) про готовність об`єкта до експлуатації, збудованого без дозволу на виконання будівельних робіт""",1
"Реєстрація декларації (внесення змін до декларації) про початок виконання будівельних робіт",172
"Реєстрація декларації про утворення відходів",223
"Реєстрація дозволів на проведення археологічних розвідок, розкопок",3
"Реєстрація місця проживання/перебування",13274
"Реєстрація органу самоорганізації населення (будинкового, вуличного, квартального, територіального комітету)",3
"Реєстрація та перереєстрація громадян в гуртожитках міста",6
"Рішення про передачу у власність, надання у постійне користування та оренду земельних ділянок, що перебувають у державній або комунальній власності. Погодження про передачу ділянок в суборенду",9
"Рішення про продаж земельних ділянок державної та комунальної власності",4
"Спеціальний дозвіл на спеціальне використання лісових ресурсів (лісорубний квиток)",38
"Укладання договору на право тимчасового користування окремими елементами благоустрою комунальної власності для розміщення ТС та ЛТМ для провадження підприємницької діяльності",302
