"Var1","Freq"
"Надання дозволу на укладення угод неповнолітніми, від імені малолітніх щодо відчуження майна (нежитлових приміщень, земельних ділянок, автомобілів тощо), власником (співвласником) якого вони є",5
"Надання дозволу на укладення угод неповнолітніми, від імені малолітніх щодо придбання (дарування) на їх ім'я, договору про припинення права на аліменти на дитину в зв'язку з переходом права власності на нерухоме майно",34
"Надання містобудівних умов та обмежень забудови земельної ділянки",289
"Надання ордеру на ізольовану квартиру після здійсненого переобладнання приміщення",1
"Оформлення і видача паспорта громадянина України для виїзду за кордон з безконтактним електронним носієм",7189
"Оформлення і видача паспорта громадянина України для виїзду за кордон з безконтактним електронним носієм замість втраченого або викраденого",7
"Оформлення і видача паспорта громадянина України з безконтактним електронним носієм вперше особі, яка звертається за оформленням паспорта після досягнення 18-річного віку",1
"Оформлення і видача паспорта громадянина України з безконтактним електронним носієм вперше після досягнення 14-річного віку",881
"Оформлення і видача паспорта громадянина України з безконтактним електронним носієм у зв`язку з втратою/викраденням паспорта громадянина України зразка 1994 року (у формі книжечки)",7
"Оформлення і видача паспорта громадянина України з безконтактним електронним носієм у зв`язку з втратою/викраденням паспорта громадянина України (у формі картки)",7
"Оформлення і видача паспорта громадянина України з безконтактним електронним носієм у разі обміну паспорта громадянина України зразка 1994 року (у формі книжечки)",337
"Оформлення і видача паспорта громадянина України з безконтактним електронним носієм у разі обміну паспорта громадянина України (у формі картки)",40
"Оформлення/продовження паспорта прив'язки тимчасової споруди для провадження підприємницької діяльності",13
"Передача громадянам у власність приміщень (кімнат) у гуртожитках міста",139
"Передача малосімейного гуртожитку у власність громадян",1
"Передача на баланс зовнішніх мереж",8
"Переоформлення дозволу на викиди забруднюючих речовин в атмосферне повітря стаціонарними джерелами для обʼєктів ІІ та ІІІ групи",4
"Перереєстрація, внесення змін та поновлення документів облікової справи",112
"Підготовка договору (довідки) про пайову участь замовників будівництва у створенні і розвитку інженерно-транспортної та соціальної інфраструктури міста",121
"Повідомна реєстрація колективних договорів, змін та доповнень до них",100
"Погодження архітектурного типу тимчасової споруди для провадження підприємницької діяльності",155
"Погодження відчуження або передачі пам'яток місцевого значення їхнім власникам чи у уповноваженими ними органами іншим особам у володіння, користування або управління",6
"Погодження документації із землеустрою",571
"Погодження дорожнього перевезення небезпечних вантажів (крім міжнародних перевезень дорогами, що входять до затверджених маршрутів руху)",130
"Погодження маршруту руху транспортного засобу під час дорожнього перевезення небезпечних вантажів",582
"Погодження місць здійснення виносної дрібнороздрібної торгівлі",73
"Погодження на проведення ярмарку",1
"Погодження облаштування літніх торгових майданчиків",124
"Погодження паспорта вивіски",263
"Погодження паспорта літнього торгового майданчика",66
"Погодження (перепогодження) паспорта літнього/всесезонного",65
"Погодження (перепогодження) паспорта літнього/всесезонного торгового майданчика",14
"Погодження/перепогодження схеми розташування місць дрібнороздрібної торгівлі, надання послуг у сфері розваг, стаціонарних атракціонів",74
"Погодження програм та проектів містобудівних, архітектурних і ландшафтних перетворень, будівельних, меліоративних, шляхових, земельних робіт, реалізація яких може позначитися на стані пам'яток місцевого значення, їх територій і зон охорони",1
"Погодження проекту інформаційної вивіски на пам'ятці культурної спадщини",231
"Погодження режиму роботи суб'єкта господарювання",18
"Погодження розміщення всесезонних торгових майданчиків біля стаціонарних закладів ресторанного господарства",13
"Погодження розміщення об`єкта тимчасової/святкової дрібнороздрібної торгівлі",39
"Погодження розміщення реклами на пам'ятках місцевого значення, в межах зон охорони таких пам'яток",24
"Погодження участі у міському ярмарку",1
"Присвоєння (зміна) поштової адреси",150
"Присвоєння (зміна) поштової адреси Для існуючих об'єктів:",1
"Продовження строку дії посвідчень батьків та дитини з багатодітної сім'ї",123
"Реєстрація декларації (внесення змін до декларації) про готовність об`єкта до експлуатації",1384
"Реєстрація декларації (внесення змін до декларації) про готовність об'єкта до експлуатації",331
"Реєстрація декларації (внесення змін до декларації) про готовність об`єкта до експлуатації, збудованого без дозволу на виконання будівельних робіт""",3
"Реєстрація декларації про утворення відходів",228
"Реєстрація дозволів на проведення археологічних розвідок, розкопок",2
"Реєстрація місця проживання/перебування",10818
"Реєстрація органу самоорганізації населення (будинкового, вуличного, квартального, територіального комітету)",2
"Реєстрація та перереєстрація громадян в гуртожитках міста",10
"Свідоцтво на придбання і зберігання вибухових матеріалів промислового призначення",8
"Спеціальний дозвіл на спеціальне використання лісових ресурсів (лісорубний квиток)",25
"Укладання договору на право тимчасового користування окремими елементами благоустрою комунальної власності для розміщення ТС та ЛТМ для провадження підприємницької діяльності",171
